order_id,order_date,region,product_category,sales_channel,customer_name,units_sold,unit_price,discount_pct,revenue
104151,2024-01-01,Latin America,Apparel,Online,Taylor Williams II,9,85.05,15,650.63
102902,2024-01-01,Europe,Office Supplies,Partner Reseller,Tina Ramirez,5,178.59,0,892.95
104776,2024-01-01,Latin America,Apparel,Retail Store,Brandon Perkins,2,124.78,0,249.56
102604,2024-01-01,Asia Pacific,Apparel,Partner Reseller,Nancy Allen,2,142.4,5,270.56
104725,2024-01-01,Asia Pacific,Electronics,Online,Tyler Velazquez,9,224.78,15,1719.57
103626,2024-01-01,Latin America,Home & Garden,Partner Reseller,David Walters,4,177.18,5,673.28
104129,2024-01-02,Middle East & Africa,Office Supplies,Retail Store,Heidi Blankenship,4,74.4,0,297.6
102714,2024-01-02,North America,Apparel,Partner Reseller,Justin Herrera,7,22.47,10,141.56
104978,2024-01-02,Asia Pacific,Office Supplies,Online,Jamie Lee,4,64.82,10,233.35
102911,2024-01-02,North America,Apparel,Online,Cynthia Smith,1,68.45,0,68.45
102327,2024-01-02,North America,Home & Garden,Retail Store,Kelly Lopez,5,58.26,5,276.74
103217,2024-01-03,Europe,Electronics,Online,Eric Hays,4,461.71,10,1662.16
101921,2024-01-04,Asia Pacific,Office Supplies,Partner Reseller,Sara Schwartz,6,195.15,5,1112.36
102611,2024-01-05,Europe,Office Supplies,Partner Reseller,Stephanie Stone,12,193.23,20,1855.01
102632,2024-01-06,Europe,Sporting Goods,Online,Joseph Smith,9,318.23,5,2720.87
101426,2024-01-06,Europe,Apparel,Retail Store,Robert Charles,6,76.53,20,367.34
100821,2024-01-06,Middle East & Africa,Home & Garden,Online,Mark Beard,9,175.13,5,1497.36
104411,2024-01-06,North America,Electronics,Retail Store,Seth Barker,5,1066.12,5,5064.07
102294,2024-01-07,Asia Pacific,Home & Garden,Partner Reseller,Michelle Chambers,9,169.89,0,1529.01
100208,2024-01-07,Latin America,Office Supplies,Retail Store,Dr. William Warren,7,76.33,0,534.31
100072,2024-01-07,Asia Pacific,Home & Garden,Online,Brittney Phillips,2,318.14,5,604.47
101483,2024-01-07,Middle East & Africa,Home & Garden,Retail Store,Kelly Miles,7,203.5,5,1353.27
